,Numero domanda,Testo domanda,Risposta Corretta,Immagine
0,25386,"In caso di mal funzionamento del servosterzo, lo sterzo diventa ""pesante""",VERO,
1,25387,"In caso di foratura di un pneumatico, lo sterzo tira nella direzione della ruota forata",VERO,
2,25388,Al fine di garantire la sicurezza della circolazione occorre verificare periodicamente l'assenza di giochi anomali allo sterzo,VERO,
3,25389,"La ""durezza"" dello sterzo può essere indice di insufficiente pressione dei pneumatici",VERO,
4,25390,Il servosterzo idraulico non funziona se il motore Ł spento,VERO,
5,25391,Eccessivi giochi allo sterzo rendono imprecisa la traiettoria del veicolo,VERO,
6,25392,La convergenza delle ruote ha influenza sulla precisione della sterzata,VERO,
7,25393,Se lo sterzo vibra Ł bene far controllare la bilanciatura delle ruote anteriori,VERO,
8,25394,Il servosterzo aiuta a controllare la traiettoria del veicolo in caso di foratura di un pneumatico,VERO,
9,25395,Il servosterzo migliora l'azione frenante del veicolo,FALSO,
